id,Country,Cases,Deaths,Update_Time
118,Malaysia,2,0,2009-05-26 06:00:00
119,Mexico,4174,80,2009-05-26 06:00:00
120,Netherlands,3,0,2009-05-26 06:00:00
121,New Zealand,9,0,2009-05-26 06:00:00
122,Norway,4,0,2009-05-26 06:00:00
123,Panama,76,0,2009-05-26 06:00:00
124,Peru,27,0,2009-05-26 06:00:00
125,Philippines,2,0,2009-05-26 06:00:00
126,Poland,3,0,2009-05-26 06:00:00
127,Portugal,1,0,2009-05-26 06:00:00
128,Russia,2,0,2009-05-26 06:00:00
129,Spain,136,0,2009-05-26 06:00:00
130,Sweden,3,0,2009-05-26 06:00:00
131,Switzerland,3,0,2009-05-26 06:00:00
132,Thailand,2,0,2009-05-26 06:00:00
133,Turkey,2,0,2009-05-26 06:00:00
134,United Kingdom,137,0,2009-05-26 06:00:00
135,United States of America,6764,10,2009-05-26 06:00:00
136,Argentina,19,0,2009-05-27 08:00:00
137,Australia,39,0,2009-05-27 08:00:00
138,Austria,1,0,2009-05-27 08:00:00
139,Bahrain,1,0,2009-05-27 08:00:00
140,Belgium,7,0,2009-05-27 08:00:00
141,Brazil,9,0,2009-05-27 08:00:00
142,Canada,921,1,2009-05-27 08:00:00
143,Chile,86,0,2009-05-27 08:00:00
144,China,22,0,2009-05-27 08:00:00
145,Colombia,16,0,2009-05-27 08:00:00
146,Costa Rica,33,1,2009-05-27 08:00:00
147,Cuba,4,0,2009-05-27 08:00:00
148,Denmark,1,0,2009-05-27 08:00:00
149,Ecuador,28,0,2009-05-27 08:00:00
150,El Salvador,11,0,2009-05-27 08:00:00
151,Finland,2,0,2009-05-27 08:00:00
152,France,16,0,2009-05-27 08:00:00
153,Germany,17,0,2009-05-27 08:00:00
154,Greece,1,0,2009-05-27 08:00:00
155,Guatemala,5,0,2009-05-27 08:00:00
156,Honduras,1,0,2009-05-27 08:00:00
157,Iceland,1,0,2009-05-27 08:00:00
158,India,1,0,2009-05-27 08:00:00
159,Ireland,1,0,2009-05-27 08:00:00
160,Israel,9,0,2009-05-27 08:00:00
161,Italy,23,0,2009-05-27 08:00:00
162,Japan,360,0,2009-05-27 08:00:00
163,Korea,21,0,2009-05-27 08:00:00
164,Kuwait,18,0,2009-05-27 08:00:00
165,Malaysia,2,0,2009-05-27 08:00:00
166,Mexico,4541,83,2009-05-27 08:00:00
167,Netherlands,3,0,2009-05-27 08:00:00
168,New Zealand,9,0,2009-05-27 08:00:00
169,Norway,4,0,2009-05-27 08:00:00
170,Panama,76,0,2009-05-27 08:00:00
171,Peru,27,0,2009-05-27 08:00:00
172,Philippines,2,0,2009-05-27 08:00:00
173,Poland,3,0,2009-05-27 08:00:00
174,Portugal,1,0,2009-05-27 08:00:00
175,Russia,2,0,2009-05-27 08:00:00
176,Singapore,1,0,2009-05-27 08:00:00
177,Spain,138,0,2009-05-27 08:00:00
178,Sweden,3,0,2009-05-27 08:00:00
179,Switzerland,3,0,2009-05-27 08:00:00
180,Thailand,2,0,2009-05-27 08:00:00
181,Turkey,2,0,2009-05-27 08:00:00
182,United Kingdom,137,0,2009-05-27 08:00:00
183,United States of America,6764,10,2009-05-27 08:00:00
184,Argentina,37,0,2009-05-29 06:00:00
185,Australia,147,0,2009-05-29 06:00:00
186,Austria,1,0,2009-05-29 06:00:00
187,Bahrain,1,0,2009-05-29 06:00:00
188,Belgium,8,0,2009-05-29 06:00:00
189,Brazil,10,0,2009-05-29 06:00:00
190,Canada,1118,2,2009-05-29 06:00:00
191,Chile,165,0,2009-05-29 06:00:00
192,China,30,0,2009-05-29 06:00:00
193,Colombia,17,0,2009-05-29 06:00:00
194,Costa Rica,33,1,2009-05-29 06:00:00
195,Cuba,4,0,2009-05-29 06:00:00
196,Czech Republic,1,0,2009-05-29 06:00:00
197,Denmark,1,0,2009-05-29 06:00:00
198,Dominican Republic,2,0,2009-05-29 06:00:00
199,Ecuador,32,0,2009-05-29 06:00:00
200,El Salvador,11,0,2009-05-29 06:00:00
201,Finland,3,0,2009-05-29 06:00:00
202,France,21,0,2009-05-29 06:00:00
203,Germany,19,0,2009-05-29 06:00:00
204,Greece,3,0,2009-05-29 06:00:00
205,Guatemala,5,0,2009-05-29 06:00:00
206,Honduras,1,0,2009-05-29 06:00:00
207,Iceland,1,0,2009-05-29 06:00:00
208,India,1,0,2009-05-29 06:00:00
209,Ireland,3,0,2009-05-29 06:00:00
210,Israel,11,0,2009-05-29 06:00:00
211,Italy,26,0,2009-05-29 06:00:00
212,Japan,364,0,2009-05-29 06:00:00
213,Korea,33,0,2009-05-29 06:00:00
214,Kuwait,18,0,2009-05-29 06:00:00
215,Malaysia,2,0,2009-05-29 06:00:00
216,Mexico,4910,85,2009-05-29 06:00:00
217,Netherlands,3,0,2009-05-29 06:00:00
218,New Zealand,9,0,2009-05-29 06:00:00
219,Norway,4,0,2009-05-29 06:00:00
220,Panama,107,0,2009-05-29 06:00:00
221,Peru,31,0,2009-05-29 06:00:00
222,Philippines,6,0,2009-05-29 06:00:00
223,Poland,4,0,2009-05-29 06:00:00
224,Portugal,1,0,2009-05-29 06:00:00
225,Romania,3,0,2009-05-29 06:00:00
226,Russia,2,0,2009-05-29 06:00:00
227,Singapore,4,0,2009-05-29 06:00:00
228,Slovakia,1,0,2009-05-29 06:00:00
229,Spain,143,0,2009-05-29 06:00:00
230,Sweden,4,0,2009-05-29 06:00:00
231,Switzerland,4,0,2009-05-29 06:00:00
232,Thailand,2,0,2009-05-29 06:00:00
233,Turkey,2,0,2009-05-29 06:00:00
234,United Kingdom,203,0,2009-05-29 06:00:00
235,United States of America,7927,11,2009-05-29 06:00:00
236,Uruguay,2,0,2009-05-29 06:00:00
237,Argentina,100,0,2009-06-01 06:00:00
238,Australia,297,0,2009-06-01 06:00:00
239,Austria,1,0,2009-06-01 06:00:00
240,Bahamas,1,0,2009-06-01 06:00:00
241,Bahrain,1,0,2009-06-01 06:00:00
242,Belgium,12,0,2009-06-01 06:00:00
243,Bolivia,3,0,2009-06-01 06:00:00
244,Brazil,18,0,2009-06-01 06:00:00
245,Canada,1336,2,2009-06-01 06:00:00
246,Chile,250,0,2009-06-01 06:00:00
247,China,52,0,2009-06-01 06:00:00
248,Colombia,20,0,2009-06-01 06:00:00
249,Costa Rica,37,1,2009-06-01 06:00:00
250,Cuba,4,0,2009-06-01 06:00:00
251,Cyprus,1,0,2009-06-01 06:00:00
252,Czech Republic,1,0,2009-06-01 06:00:00
253,Denmark,1,0,2009-06-01 06:00:00
254,Dominican Republic,2,0,2009-06-01 06:00:00
255,Ecuador,39,0,2009-06-01 06:00:00
256,El Salvador,27,0,2009-06-01 06:00:00
257,Estonia,1,0,2009-06-01 06:00:00
258,Finland,3,0,2009-06-01 06:00:00
259,France,24,0,2009-06-01 06:00:00
260,Germany,28,0,2009-06-01 06:00:00
261,Greece,4,0,2009-06-01 06:00:00
262,Guatemala,12,0,2009-06-01 06:00:00
263,Honduras,2,0,2009-06-01 06:00:00
264,Hungary,1,0,2009-06-01 06:00:00
265,Iceland,1,0,2009-06-01 06:00:00
266,India,1,0,2009-06-01 06:00:00
267,Ireland,4,0,2009-06-01 06:00:00
268,Israel,19,0,2009-06-01 06:00:00
269,Italy,29,0,2009-06-01 06:00:00
270,Jamaica,2,0,2009-06-01 06:00:00
271,Japan,370,0,2009-06-01 06:00:00
272,Korea,33,0,2009-06-01 06:00:00
